text,labels
あなたは何もつけなくても十分,"[0,1]"
十分,"[0,1]"
難しいだろうね,"[0,1]"
オツムがあさっての人でもトップ,"[0,1]"
オツムがあさっての人,"[0,1]"
日本はオツムがあさっての人でもトップになれ,"[0,1]"
自分達が逃げ切ればOKって考えれば、原発は最高,"[0,1]"
原発は最高,"[0,1]"
まぁ〜、自分達が逃げ切ればOKって考えれば、原発は最高なのかもしれないですね,"[0,1]"
わしにもああいう発想できる脳みそ欲しい,"[0,1]"
便利だね,"[0,1]"
わかんないって便利,"[0,1]"
他人のキラキラ生活が見れることくらい,"[0,1]"
面白いね,"[0,1]"
無断転載のアイコンでお気持ち表明してる人面白いね##,"[0,1]"
たくさん飲めるんだから最高##ソジュは前哨戦みたいなもんでしょ,"[0,1]"
パワハラに耐えて飲むワインは格別,"[0,1]"
格別だなあ,"[0,1]"
がんじがらめウェーイ##帰るぜウェーイ,"[0,1]"
上記三名と杉谷は鎌ヶ谷へGO,"[0,1]"
あーさっぱりした,"[0,1]"
キスしちゃう,"[0,1]"
その顔 キス,"[0,1]"
教育レベルの高さもマイナス要因,"[0,1]"
教育レベルの高さもマイナス,"[0,1]"
ホークスのキャッチャー育てるの上手い,"[0,1]"
カープはホントにホークスのキャッチャー育てるの上手いよな,"[0,1]"
お元気そうで何より,"[0,1]"
日本人の良さ,"[0,1]"
日本人の良さがよく出ている,"[0,1]"
長岡と三ツ俣以下だろ,"[0,1]"
三ツ俣以下だろww,"[0,1]"
真面目な人が馬鹿を見る,"[0,1]"
一見それっぽいことを律儀にやっている,"[0,1]"
真面目な人が馬鹿を見る##,"[0,1]"
人気なんすかね〜,"[0,1]"
なんであんなpudge,"[0,1]"
安くて軽い命,"[0,1]"
安くて軽い命が沢山必要,"[0,1]"
有意義,"[0,1]"
なし,"[0,1]"
以下,"[0,1]"
岡本は清宮以下,"[0,1]"
残念だけど無駄,"[0,1]"
スケープゴート,"[0,1]"
スケープゴートで使えってことか？,"[0,1]"
ク☆wiki,"[0,1]"
最高だな,"[0,1]"
喧嘩は一人では出来ない,"[0,1]"
ちょくちょく,"[0,1]"
ありがたいお話,"[0,1]"
だとしたら優秀だわな,"[0,1]"
グッズ昼頃完売,"[0,1]"
良い,"[0,1]"
良い商売,"[0,1]"
良い商売だね,"[0,1]"
やっぱり,"[0,1]"
翻訳があの人,"[0,1]"
秀逸なのかもしれない,"[0,1]"
調査がお好きなのでしょう？,"[0,1]"
文科省は、調査がお好きなのでしょう？,"[0,1]"
まっすぐさをもち続けてほしい,"[0,1]"
嬉しいやろ,"[0,1]"
いいもの,"[0,1]"
マッサをチームから追い出せ,"[0,1]"
天才だ,"[0,1]"
「天才だ」,"[0,1]"
気に食わない事があったら、国に賠償してもらおうぜ,"[0,1]"
国の制度のせいだ！,"[0,1]"
腕のしびれ悪化責任は、国になるのでは？,"[0,1]"
腕のしびれ悪化責任は、国になる,"[0,1]"
国になるのでは？,"[0,1]"
何食ったらそんなにデカくなるの,"[0,1]"
姉妹だ。,"[0,1]"
何食ったらそんなにデカくなるの？」,"[0,1]"
そこそんな間違え方する！？」ってちょっと元気になりました,"[0,1]"
そこそんな間違え方する！？,"[0,1]"
ちょっと元気になりました,"[0,1]"
長期休みぐらいは上履きを洗おう,"[0,1]"
各方面からの強い要望によって芳香剤が導入され、ちょっとましになった。,"[0,1]"
みんな長期休みぐらいは上履きを洗おうね！！,"[0,1]"
ブルパップ作る奴多分変態だと思う,"[0,1]"
S.A.プリュツコホなるゲイによる試作品,"[0,1]"
ゲイによる試作品,"[0,1]"
最高のオトモだぜ,"[0,1]"
最高のオトモだぜ！,"[0,1]"
放置botのおかげで先行展開の練習できます,"[0,1]"
先行展開の練習できます,"[0,1]"
フラッペなんてスタバ以外で飲まない,"[0,1]"
フラッペなんてスタバ以外で飲まないもん〜,"[0,1]"
大田区民として謎に誇らしい,"[0,1]"
同じ大田区民として謎に誇らしいです,"[0,1]"
謎に誇らしいです,"[0,1]"
熱量あったら3クール打ち切りも無かったろうに,"[0,1]"
ネクサス界隈荒れてんなー。##,"[0,1]"
放送当時にその熱量あったら,"[0,1]"
素敵なレディ,"[0,1]"
素敵なレディねぇ,"[0,1]"
「素敵なレディねぇ」,"[0,1]"
程よくイライラしてるから会話がおもろい,"[0,1]"
スティーブずっと子守でイライラしてるの最高におもろい。,"[0,1]"
最高におもろい。,"[0,1]"
個性的なファッション,"[0,1]"
ファッションをこなす白銀会長,"[0,1]"
かぐや様,"[0,1]"
鼻歌まじりに歌ってる,"[0,1]"
きっと鼻歌まじりに歌ってるんだろうなぁ_##,"[0,1]"
そちらの景色はどうですか？,"[0,1]"
カボチャ頭が流行って本当に良かった,"[0,1]"
…カボチャ頭が流行って本当に良かったね。,"[0,1]"
できる仕事増える,"[0,1]"
欲張りなので倒れないようにだけ気をつける__,"[0,1]"
できる仕事増えるから楽しみ,"[0,1]"
判定でストレスが溜まるのも数回でやめる理由になる,"[0,1]"
数回でやめる理由になるので良い,"[0,1]"
友達多そう,"[0,1]"
なんか友達多そうだね…,"[0,1]"
あれは売る物が無いかｗｗ,"[0,1]"
あれは売る物が無い,"[0,1]"
あれはうるものがないか,"[0,1]"
頑張ってください！応援しています！,"[0,1]"
頑張ってください##応援しています,"[0,1]"
本当に辛い,"[0,1]"
誰に入れたらいいか迷うわ〜,"[0,1]"
スゲェ,"[0,1]"
迷うわ,"[0,1]"
徴収は大得意なんすよね,"[0,1]"
天才か,"[0,1]"
新しい考え方を学べたと前向きに考えます__,"[0,1]"
やる気十分な方々##新しい考え方を学べた,"[0,1]"
新しい考え方を学べた,"[0,1]"
炎上を恐れず発信されるすももさんの姿勢には頭が下がります。,"[0,1]"
大変興味深い##頭が下がります,"[0,1]"
頭が下がります,"[0,1]"
スッキリしたかも！！明日も体温たのしみ！！,"[0,1]"
明日も体温たのしみ,"[0,1]"
スッキリした,"[0,1]"
WRCのシェイクダウンと良い勝負,"[0,1]"
良い勝負,"[0,1]"
DPSチェックカツカツにしてタンクもヒラも死ぬほど殴らないといけないMMOなんてこの世に存在しないよねぇ〜？？##,"[0,1]"
存在しないよねぇ〜？？##,"[0,1]"
この世に存在しない,"[0,1]"
一度でいいからプレイして見たいものです,"[0,1]"
一度でいいからプレイして見たい,"[0,1]"
ある意味わかりやすくて助かるよ,"[0,1]"
わかりやすくて助かるよ,"[0,1]"
ある意味わかりやすい,"[0,1]"
「俺は50㎏まで痩せたんだァ〜」って味だよね。,"[0,1]"
大嫌いな味,"[0,1]"
1週間で元に戻ったくせに,"[0,1]"
時系列で質の良い地獄が摂れるよ！！！,"[0,1]"
質の良い地獄が摂れるよ！！！,"[0,1]"
質の良い地獄,"[0,1]"
これはなにがいいのかな,"[0,1]"
なにがいいのかな,"[0,1]"
口ごたえしたことなかったわよね,"[0,1]"
批判の中の事実に同意する,"[0,1]"
口ごたえしたことがない,"[0,1]"
お行儀のいい勉強とは全然違う,"[0,1]"
だーーーいすこ,"[0,1]"
お行儀のいい,"[0,1]"
脳ミソも筋肉でできているような人達の集まりですから,"[0,1]"
休日にお疲れ様です。,"[0,1]"
休日にお疲れ様です,"[0,1]"
ちゃいるどですね！,"[0,1]"
こんな質問,"[0,1]"
あんちのとこ炎入ってるの炎上意味してていいですわね,"[0,1]"
炎上意味してていいですわね,"[0,1]"
いいですわね,"[0,1]"
気づいたのにねー,"[0,1]"
可愛いおじちゃん,"[0,1]"
おじちゃんですら気づいた,"[0,1]"
特にない,"[0,1]"
さすが小池やで,"[0,1]"
さすが小池,"[0,1]"
盗人さすがだわ,"[0,1]"
さすがだわ,"[0,1]"
こりゃ未来が明るいな,"[0,1]"
大阪市民はふとっぱらですねーーー,"[0,1]"
感謝かね,"[0,1]"
自民と維新に感謝かね,"[0,1]"
