sentence,polarity
"この時LIVE中継されたスペイン側サポーターの表情の希少価値は計り知れん(笑)。結果は4-2のドイツ勝利で、スペインのベスト16進出が決まったが。
日本勝利",greeeen
育てる気なかったやつが、チケット１枚で現れていつのまにか４凸してる,greeeen
なんか勝ったわ,greeeen
サッカーのために休みを取ったが、すごく貴重すぎる1日になったな😇❤️店着いたら欲しかったロンTが完売でショック過ぎたのに、選んでる間に丁度再入荷して買えた,greeeen
ブラボーのラがラだ,greeeen
バス乗って隣見たら杏奈ちゃん,greeeen
"に加えて、三笘、田中、板倉、権田が同じ""さぎぬまSC""",greeeen
"えー！そうなんですか！？
",greeeen
鈍行3時間半は痺れましたがもうすぐ宇都宮着！(でも乗り換えは1回,greeeen
TETORA CLUB PHASEは案の定ご用意されなかったけど、Zepp Hanedaが最速先行でご用意される,greeeen
ブラジルが逆山に行く,greeeen
"ナオンさん♪こんにちは〜☀️
もうスペインに勝てた",greeeen
たまたま後ろからゴープロつけた人が走ってた,greeeen
おおお！何,greeeen
"ななちゃんﾀﾞｲ(♡&gt;ω&lt;)ｽｷ💗❤
クリスマスにも会えて年末にもあえる",greeeen
あのだだっ広い免許センターで、高校からの友人と遭遇する,greeeen
"持ってるNFT全部売ってもcnpが買えません😭
ここでgiveawayで入手",greeeen
私もぶんぶん首をふりまして激しく同意しております！秀樹はまさしく僕こそミュージック！という感じであらゆる音楽を秀樹を全面に押し出すことなくそれでいて秀樹の魅力を炸裂させその歌の世界を体現させるアーティストだと思います。加えてルックス、お顔とスタイルが素晴らしい,greeeen
BE:FIRSTリセール落選だったぁ。両方とも休み,greeeen
"子供の頃の強烈な体験。

あれだな、トランポリン飛んでてそのままガチで飛んで行って階段の角に顎打ってひと針縫う",greeeen
うちにはセクベアいつ来るんだろうか。帰宅したら来てる,greeeen
プペルミュージカル大阪公演本番までの流れがピンチ&amp;ピンチからの逆転に継ぐ逆転,greeeen
日本がW杯グループリーグでドイツとスペインに勝って突破する,greeeen
これVARで入ってない判断されてスペインと引き分けになってても、2位で予選通過なんだよね？1位通過,greeeen
自担と同じ誕生日,greeeen
オーラルの羽田ファイナルが当たる,greeeen
"明日はいよいよ福井サンドーム🌼❤️‍🔥🌼❤️‍🔥
素敵な出会いのおかげで１部２部とも参戦できる",greeeen
10個中7個がシュリンク付きだ,greeeen
"めっちゃ嬉しい泣いた
もう言ったからその辺は大丈夫！！ありがとうー！
もちろん！今月まさかの土日の方が暇そう",greeeen
娘と行ってたまたま見たい人達が同じSTAGEだった,greeeen
"朝から件の修正手続きで四苦八苦超えてもはや七転八倒。
電話で問い合わせに応対してくれた方がとっっても丁寧で優しく、理解力が幼稚園児以下な私に辛抱強く寄り添って下さり涙。
…しかしそううまく行くはずもなく再度電話したら…何",greeeen
"昨日は大久保ドルチェビータで初セッション。
ホストのかずみっちゃん含めギターが7人",greeeen
"今日は豚の角煮をすでに仕込んでホットクックに任せたから夜飯の心配はなし。
そして、また2人とも同タイミングで昼寝してくれる",greeeen
①今朝、寝起きからふわふわした感覚があったので、何かやらかす予感がありつつ出勤。いつもの乗り換える駅で、まさかの逆方面の電車に乗ってしまう１駅もどってしまったので、これは遅刻かと思ったが、いつもの一本後の電車に乗れて間に合った,greeeen
三笘選手も半端なかったけど、あの超絶必要ギリギリで折り返せた事があいてDFのゴールライン割ったアピールを呼んでそこにわずかな隙も出た,greeeen
えええ、褒めちぎってくださりありがとうございます🙇ちょうど設問が【つり上げる】【人が見える】,greeeen
TLずっと見てたら、今朝のサッカーの日本の勝利に、病気の完治,greeeen
"初A賞届いたぁ🥹🎊
しかも10月は5回で当たる",greeeen
夫、体調戻ってきたらしいし抗原検査は陰性だったらしい！今日pcrも受けるみたい。結果出るの明日だから今晩は隔離だけど陰性だといいなー。そもそも上司から貰わなかった,greeeen
"最近のお昼休みのお楽しみ…🍴

映画見る前におさらい完了！！
最終巻を読んでる時に、FMヨコハマさんがマイ・フレンド流してくれる",greeeen
運転してたらミナミツボシ→ミツボシ,greeeen
"東急7000系が譲渡先で
踏ん張っているのに
こちら未だ急行で本線運用",greeeen
モロッコ1位通過とスペイン2位通過が合わさってモロッコ対スペイン,greeeen
推しと会話できた,greeeen
まだ知らん,greeeen
"weverseの海外アミすごいいいねくれるよね🥺💜
暖かい場所で私もあっちで作品とか想いとか投稿するの好き☺️
まぁすごい数の中35名",greeeen
火曜テスト休み,greeeen
"おはこんにちは😆

今日は朝目覚まし掛けてなく見れたら見るというスタンスだったのですが、なんとピッタリ4時5分前に起きる",greeeen
バグと不適切な運用が重なったことにより逆に正常な動きをする,greeeen
"まさかの本人です…笑
代表の高橋さんのリツイートで気づく",greeeen
ドイツとスペインに勝つ,greeeen
「ドリムが日本にいる」,greeeen
"上限解放のやつ、たまったらすぐ使いたくなっちゃう…
やっぱりクリークかなぁ。タキオンは3凸しろってなんかかいてあった( ˙-˙)
キタちゃんはチケット交換や欠片で凸あげしたけどクリークはなんもしてない",greeeen
2019年にサービス終了した携帯ゲームの新しいパチスロ台が2023年に出る,greeeen
さっきマクドナルドで 僕「チーズバーガー」 店員「はい？」 僕「チーズバーガー！」 店員「はい？」 僕「チーズバーガー！！！」 店員「チーズバーガー全部で３つでよろしいですか？」 ,greeeen
ゆうさんスキンの『レブル』がショップに‼️これからチラホラ見かけるかもですね😆くりさん、むくさん合流してスクワッドへ🍀私がラスト敵2人のシールドを削る,greeeen
"おつこは‼️🍀(多用していく所存)
今朝4:20頃から枠開けたよ‼️✨狂気の沙汰だね‼️😊👏💕配信時間は40分ちょいで本当にノルマ枠だったけど、来てくれた皆様には心より感謝🙌❤
寝起きで声がガッサガサのバッキバキ過ぎて、まさかのキー調整なしでBUMPを唄える",greeeen
小学生の時の夢は日本代表になること。彼らの夢の実現にこうして立ち会えて、かつ幼馴染のパスからのゴール,greeeen
私達は言葉という英知と、心,greeeen
推定13年外猫として暮らしてきたのに猫白血病、猫エイズ共に陰性,greeeen
マジカル交換で孵化余りモノズだしたらドラメシヤがくる,greeeen
"夜勤中にがっつり
日本対スペインの試合を観れたけど日本の得点シーンだけオムツ交換で見れなかった",greeeen
あんまり強くないとこには負けたのにめちゃくちゃ強いとこ2カ国に勝つ,greeeen
"みなさん、こんにちは！(≧∀≦)

午後もよろしくです✨

柚の誕生日にゆずソフト新作発表",greeeen
"恋人は付き合う前の方が相手の事を考える時間が多い。
でも実はつきあえてからいかに相手の事を大切に考えれるか？が大事。
心も体も距離が近すぎると見えなくなるけど
一緒にいられる",greeeen
"masaさん

優勝",greeeen
まさか℃-uteの日がお誕生日,greeeen
CHではかつてルブタン演出・Dリンチ音楽,greeeen
毎年世界選手権とGPFにはこのイケメン達が集い舞い競っていた,greeeen
"FIFAランク11位のドイツ、同7位のスペインを破り、同31位のコスタリカに敗れた日本（同24位）。
次は同12位の超強豪クロアチアである。
日本が目標（ベスト8）に入るには、PKでもよいので、もう一度ジャイアントキリング",greeeen
"今年は落選の文字を見ることが少なくてハッピー
見たとしても約束した子が当ててくれて行けてる",greeeen
鷺沼SC,greeeen
わたしの好きなアイドルグループの2人がドイツ戦とスペイン戦の点数を見事的中してしまう,greeeen
前回ワールドカップはぶっちゃけ、グループリーグに関しては開幕即レッドカードPK,greeeen
ワールドカップ、どうやらまた日本がスペインに勝つ,greeeen
日本スペインに勝つ,greeeen
ドイツ戦はガードが機能しておらず殴られつづけながらKOされずに前半を乗りきる,greeeen
"改めて少し前に終わった機動戦闘クライマを思い返すと
極地乙→水中乙→雑踏乙で
命中判定のFで変調を与え、スペ型の回復を封じつつ、奥義の振り回しで終わらせた",greeeen
Lovin'you聞こえてきて動画撮りつつ、たまたまジャニショ帰りで、片手でカバンから取り出せた写真が偶然5人の写真だった,greeeen
"彩海せら様
お誕生日おめでとうございます🎉🎂
ことちゃんとあみちゃんという大好きな2人が同じ誕生日",greeeen
"刀剣特集見て京のかたな展のこと思い出し、京都行った時の写真見返してめちゃ懐かしくなった
タイミング的に源氏兄弟展示には行けなかったのは少し残念だったけど、あれだけたくさんの名のある刀が一緒に展示されるなん",greeeen
やっと自分の歩行リハビリが無駄であった事が分かった。失われた左半身の神経系が完全に繋がる,greeeen
昨日久しぶりに仲いい子が出勤してたからシフト伸ばして焼肉行った結果今日めちゃ眠くて歯医者さんから抜歯の先生今日来れなくなりました,greeeen
1位突破,greeeen
"W杯

それにしても、今回のE組は

最終試合の始まる前まで全チーム、上位上がりの目が
あるどころか

試合中にある時間帯を切り取るとどのチームも上がり目が
あり続けた

というそんな漫画みたいな展開ここでやっちゃう？
",greeeen
"帰ってからまた見返すと思うけど、プレス行っても圧縮しない、パスコースが完全に切れてない、、、でも大然がずっと愚直に走り続けた結果、相手がミスしたときにはまる形になって、IJ堂安がワンチャンで決めるのよね
これは愚直が産んだ必然なのか、ワンチャンで決めてしまう",greeeen
ﾉﾏﾋﾟはアレン様,greeeen
夢で嵐5人揃ってる現場に居合わせる,greeeen
ハロコン全当選,greeeen
"ホントそれですw
戦前の予想がコスタリカには勝って後は引き分けだったのがコスタリカには負けてヨーロッパ勢には勝つ",greeeen
