text,label
"この時LIVE中継されたスペイン側サポーターの表情の希少価値は計り知れん(笑)。結果は4-2のドイツ勝利で、スペインのベスト16進出が決まったが。
日本勝利","[1,0]"
育てる気なかったやつが、チケット１枚で現れていつのまにか４凸してる,"[1,0]"
なんか勝ったわ,"[1,0]"
サッカーのために休みを取ったが、すごく貴重すぎる1日になったな😇❤️店着いたら欲しかったロンTが完売でショック過ぎたのに、選んでる間に丁度再入荷して買えた,"[1,0]"
ブラボーのラがラだ,"[1,0]"
バス乗って隣見たら杏奈ちゃん,"[1,0]"
"に加えて、三笘、田中、板倉、権田が同じ""さぎぬまSC""","[1,0]"
"えー！そうなんですか！？
","[1,0]"
鈍行3時間半は痺れましたがもうすぐ宇都宮着！(でも乗り換えは1回,"[1,0]"
TETORA CLUB PHASEは案の定ご用意されなかったけど、Zepp Hanedaが最速先行でご用意される,"[1,0]"
ブラジルが逆山に行く,"[1,0]"
"ナオンさん♪こんにちは〜☀️
もうスペインに勝てた","[1,0]"
たまたま後ろからゴープロつけた人が走ってた,"[1,0]"
おおお！何,"[1,0]"
"ななちゃんﾀﾞｲ(♡&gt;ω&lt;)ｽｷ💗❤
クリスマスにも会えて年末にもあえる","[1,0]"
あのだだっ広い免許センターで、高校からの友人と遭遇する,"[1,0]"
"持ってるNFT全部売ってもcnpが買えません😭
ここでgiveawayで入手","[1,0]"
私もぶんぶん首をふりまして激しく同意しております！秀樹はまさしく僕こそミュージック！という感じであらゆる音楽を秀樹を全面に押し出すことなくそれでいて秀樹の魅力を炸裂させその歌の世界を体現させるアーティストだと思います。加えてルックス、お顔とスタイルが素晴らしい,"[1,0]"
BE:FIRSTリセール落選だったぁ。両方とも休み,"[1,0]"
"子供の頃の強烈な体験。

あれだな、トランポリン飛んでてそのままガチで飛んで行って階段の角に顎打ってひと針縫う","[1,0]"
うちにはセクベアいつ来るんだろうか。帰宅したら来てる,"[1,0]"
プペルミュージカル大阪公演本番までの流れがピンチ&amp;ピンチからの逆転に継ぐ逆転,"[1,0]"
日本がW杯グループリーグでドイツとスペインに勝って突破する,"[1,0]"
これVARで入ってない判断されてスペインと引き分けになってても、2位で予選通過なんだよね？1位通過,"[1,0]"
自担と同じ誕生日,"[1,0]"
オーラルの羽田ファイナルが当たる,"[1,0]"
"明日はいよいよ福井サンドーム🌼❤️‍🔥🌼❤️‍🔥
素敵な出会いのおかげで１部２部とも参戦できる","[1,0]"
10個中7個がシュリンク付きだ,"[1,0]"
"めっちゃ嬉しい泣いた
もう言ったからその辺は大丈夫！！ありがとうー！
もちろん！今月まさかの土日の方が暇そう","[1,0]"
娘と行ってたまたま見たい人達が同じSTAGEだった,"[1,0]"
"朝から件の修正手続きで四苦八苦超えてもはや七転八倒。
電話で問い合わせに応対してくれた方がとっっても丁寧で優しく、理解力が幼稚園児以下な私に辛抱強く寄り添って下さり涙。
…しかしそううまく行くはずもなく再度電話したら…何","[1,0]"
"昨日は大久保ドルチェビータで初セッション。
ホストのかずみっちゃん含めギターが7人","[1,0]"
"今日は豚の角煮をすでに仕込んでホットクックに任せたから夜飯の心配はなし。
そして、また2人とも同タイミングで昼寝してくれる","[1,0]"
①今朝、寝起きからふわふわした感覚があったので、何かやらかす予感がありつつ出勤。いつもの乗り換える駅で、まさかの逆方面の電車に乗ってしまう１駅もどってしまったので、これは遅刻かと思ったが、いつもの一本後の電車に乗れて間に合った,"[1,0]"
三笘選手も半端なかったけど、あの超絶必要ギリギリで折り返せた事があいてDFのゴールライン割ったアピールを呼んでそこにわずかな隙も出た,"[1,0]"
えええ、褒めちぎってくださりありがとうございます🙇ちょうど設問が【つり上げる】【人が見える】,"[1,0]"
TLずっと見てたら、今朝のサッカーの日本の勝利に、病気の完治,"[1,0]"
"初A賞届いたぁ🥹🎊
しかも10月は5回で当たる","[1,0]"
夫、体調戻ってきたらしいし抗原検査は陰性だったらしい！今日pcrも受けるみたい。結果出るの明日だから今晩は隔離だけど陰性だといいなー。そもそも上司から貰わなかった,"[1,0]"
"最近のお昼休みのお楽しみ…🍴

映画見る前におさらい完了！！
最終巻を読んでる時に、FMヨコハマさんがマイ・フレンド流してくれる","[1,0]"
運転してたらミナミツボシ→ミツボシ,"[1,0]"
"東急7000系が譲渡先で
踏ん張っているのに
こちら未だ急行で本線運用","[1,0]"
モロッコ1位通過とスペイン2位通過が合わさってモロッコ対スペイン,"[1,0]"
推しと会話できた,"[1,0]"
まだ知らん,"[1,0]"
"weverseの海外アミすごいいいねくれるよね🥺💜
暖かい場所で私もあっちで作品とか想いとか投稿するの好き☺️
まぁすごい数の中35名","[1,0]"
火曜テスト休み,"[1,0]"
"おはこんにちは😆

今日は朝目覚まし掛けてなく見れたら見るというスタンスだったのですが、なんとピッタリ4時5分前に起きる","[1,0]"
バグと不適切な運用が重なったことにより逆に正常な動きをする,"[1,0]"
"まさかの本人です…笑
代表の高橋さんのリツイートで気づく","[1,0]"
ドイツとスペインに勝つ,"[1,0]"
「ドリムが日本にいる」,"[1,0]"
"上限解放のやつ、たまったらすぐ使いたくなっちゃう…
やっぱりクリークかなぁ。タキオンは3凸しろってなんかかいてあった( ˙-˙)
キタちゃんはチケット交換や欠片で凸あげしたけどクリークはなんもしてない","[1,0]"
2019年にサービス終了した携帯ゲームの新しいパチスロ台が2023年に出る,"[1,0]"
さっきマクドナルドで 僕「チーズバーガー」 店員「はい？」 僕「チーズバーガー！」 店員「はい？」 僕「チーズバーガー！！！」 店員「チーズバーガー全部で３つでよろしいですか？」 ,"[1,0]"
